time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity
16.586,500,0.27422354505556,9.10871959218931,0.749245130093788,0.803945896527411,-2.34217471822679,-2.40454919019791,68.6946808966813,-3.02313381358484,0.747083985902711,1.0497454410405,-0.731645761450824,-0.536943166877548,energy,0.513452454302732,4.16666666666667
16.588,500,0.272578203707078,9.09680593853596,0.748084414371644,0.80294566376898,-2.34067622789543,-2.4029432987941,68.7030082106334,-3.02345050489235,0.745892261802646,1.04842304113816,-0.73054666670187,-0.536291481297367,energy,0.513452454302732,4.16666666666667
16.59,500,0.270942734407154,9.08488185483501,0.74692708548627,0.801944642590199,-2.33918005899562,-2.40133940943274,68.7113355318793,-3.02376700435414,0.744704157765377,1.04709956961716,-0.729450636239579,-0.535639311288862,energy,0.513452454302732,4.16666666666667
16.592,500,0.269317077923497,9.0729474519787,0.745773147772932,0.800942828733317,-2.3376862047537,-2.39973752369918,68.719662860402,-3.02408331229875,0.743519676401674,1.04577502539739,-0.728357676009378,-0.534986649528926,energy,0.513452454302732,4.16666666666667
16.594,500,0.267701175379205,9.06100284211164,0.744622604971256,0.799940218502667,-2.33619465838731,-2.39813764318619,68.7279901961847,-3.02439942905494,0.742338819744523,1.04444940798869,-0.727267791358902,-0.534333489213872,energy,0.513452454302732,4.16666666666667
16.596,500,0.266094968250639,9.0490481395447,0.743475460239788,0.798936808746072,-2.33470541310663,-2.3965397694928,68.7363175392105,-3.02471535495164,0.74116158926344,1.04312271749817,-0.726180987052427,-0.533679824015354,energy,0.513452454302732,4.16666666666667
16.598,500,0.264498398365302,9.03708346144032,0.742331716169028,0.797932596840196,-2.33321846211552,-2.39494390422332,68.7446448894625,-3.02503109031794,0.739987985877265,1.0417949546351,-0.725097267283788,-0.53302564804663,energy,0.513452454302732,4.16666666666667
16.6,500,0.262911407899732,9.02510892831703,0.741191374793198,0.796927580678906,-2.33173379861267,-2.39335004898626,68.7529722469239,-3.02534663548307,0.738818009965726,1.0404661207136,-0.724016635688053,-0.532370955836865,energy,0.513452454302732,4.16666666666667
16.602,500,0.261333939377408,9.01312461007315,0.740054436389223,0.795921758663863,-2.33025141579267,-2.39175820539332,68.7612996115779,-3.0256619907764,0.737651660184189,1.03913621612395,-0.7229390941564,-0.53171574384123,energy,0.513452454302732,4.16666666666667
16.604,500,0.259765935666667,9.00113065654117,0.73892090224367,0.794915129506644,-2.32877130684959,-2.3901683750588,68.7696269834076,-3.02597715652739,0.736488936194058,1.03780524381237,-0.721864645566629,-0.531060006570664,energy,0.513452454302732,4.16666666666667
16.606,500,0.258207339978638,8.98912721614957,0.737790773058257,0.793907692495758,-2.32729346497491,-2.38858055959839,68.7779543623963,-3.0262921330656,0.735329837089251,1.03647320725486,-0.720793292209754,-0.530403739144947,energy,0.513452454302732,4.16666666666667
16.608,500,0.256658095865181,8.97711443724896,0.736664048967982,0.792899447468139,-2.32581788335871,-2.38699476062813,68.7862817485273,-3.02660692072066,0.734174361414025,1.03514011046641,-0.719725035807948,-0.529746937227245,energy,0.513452454302732,4.16666666666667
16.61,500,0.255118147216846,8.96509246913224,0.735540729557187,0.791890394786452,-2.32434455519079,-2.38541097976333,68.7946091417837,-3.02692151982225,0.733022507178781,1.03380595800736,-0.718659877530458,-0.529089596972999,energy,0.513452454302732,4.16666666666667
16.612,500,0.253587438260841,8.95306146281129,0.734420813873905,0.790880535320897,-2.3228734736618,-2.38382921861756,68.8029365421488,-3.02723593070007,0.731874271874159,1.03247075498725,-0.717597818007819,-0.528431714990103,energy,0.513452454302732,4.16666666666667
16.614,500,0.252065913559007,8.94102157160012,0.733304300442778,0.789869870434467,-2.32140463196429,-2.38224947880166,68.811263949606,-3.02755015368383,0.730729652483729,1.03113450706674,-0.716538857344656,-0.527773288307945,energy,0.513452454302732,4.16666666666667
16.616,500,0.250553518005818,8.92897295154495,0.732191187276783,0.788858401970859,-2.31993802329375,-2.38067176192278,68.8195913641385,-3.02786418910325,0.729588645495506,1.02979722045776,-0.715482995131311,-0.527114314353367,energy,0.513452454302732,4.16666666666667
16.618,500,0.249050196826379,8.91691576173337,0.731081471887965,0.787846132244378,-2.31847364084964,-2.37909606958345,68.8279187857297,-3.02817803728799,0.728451246912485,1.02845890192224,-0.714430230454496,-0.526454790932002,energy,0.513452454302732,4.16666666666667
16.62,500,0.247555895574445,8.90485016450849,0.729975151297352,0.786833064031334,-2.31701147783641,-2.37752240338064,68.836246214363,-3.02849169856768,0.727317452262375,1.02711955876967,-0.713380561907129,-0.525794716213758,energy,0.513452454302732,4.16666666666667
16.622,500,0.246070560130449,8.89277632560861,0.728872222044191,0.785819200562546,-2.31555152746447,-2.37595076490487,68.8445736500218,-3.02880517327189,0.726187256606646,1.02577919885364,-0.712333987597504,-0.525134088721485,energy,0.513452454302732,4.16666666666667
16.624,500,0.24459413669954,8.88069441424884,0.727772680194608,0.78480454551664,-2.31409378295115,-2.37438115573928,68.8529010926895,-3.0291184617301,0.725060654549032,1.02443783056749,-0.711290505157893,-0.524472907322066,energy,0.513452454302732,4.16666666666667
16.626,500,0.243126571809637,8.86860460315784,0.726676521349815,0.783789103013897,-2.31263823752162,-2.3728135774588,68.8612285423495,-3.02943156427168,0.723937640243566,1.0230954628393,-0.710250111752697,-0.523811171219314,energy,0.513452454302732,4.16666666666667
16.628,500,0.241667812309492,8.85650706857986,0.725583740653917,0.782772877610496,-2.31118488440989,-2.37124803162922,68.8695559989853,-3.02974448122589,0.722818207402234,1.02175210512627,-0.709212804086212,-0.523148879948231,energy,0.513452454302732,4.16666666666667
16.63,500,0.240217805366763,8.84440199025032,0.724494332801413,0.781755874292991,-2.30973371685966,-2.36968451980637,68.8778834625804,-3.03005721292186,0.721702349302323,1.02040776740856,-0.708178578410074,-0.522486033370244,energy,0.513452454302732,4.16666666666667
16.632,500,0.238776498466104,8.83228955135144,0.723408292044427,0.780738098472926,-2.30828472812523,-2.36812304353526,68.8862109331183,-3.03036975968856,0.7205900587935,1.01906246018275,-0.707147430530459,-0.521822631669145,energy,0.513452454302732,4.16666666666667
16.634,500,0.23734383940726,8.82016993845274,0.722325612199729,0.779719555981522,-2.30683791147242,-2.36656360434922,68.8945384105826,-3.03068212185479,0.71948132830469,1.01771619445489,-0.706119355815057,-0.521158675347517,energy,0.513452454302732,4.16666666666667
16.636,500,0.235919776303177,8.80804334144066,0.721246286655577,0.778700253064369,-2.30539326017941,-2.36500620376912,68.9028658949569,-3.03099429974916,0.718376149850771,1.01636898173334,-0.705094349199884,-0.520494165223479,energy,0.513452454302732,4.16666666666667
16.638,500,0.234504257578125,8.79590995344012,0.720170308378422,0.777680196376088,-2.30395076753758,-2.36345084330249,68.9111933862247,-3.03130629370009,0.717274515039141,1.01502083402122,-0.704072405195944,-0.519829102427632,energy,0.513452454302732,4.16666666666667
16.64,500,0.233097231965826,8.78376992663862,0.719097668515066,0.77665939297494,-2.30251042685241,-2.36189752444277,68.9195208843698,-3.03161810403574,0.716176413690256,1.01367176256764,-0.703053516509881,-0.519163489641235,energy,0.513452454302732,4.16666666666667
16.642,500,0.231698648507602,8.77162347792979,0.718028359594666,0.775637850163083,-2.30107223144707,-2.36034624866876,68.9278483893757,-3.03192973108409,0.715081836997357,1.0123217806838,-0.702037677203804,-0.518497327964822,energy,0.513452454302732,4.16666666666667
16.644,500,0.230308456550525,8.75947082269016,0.716962373676539,0.774615575703007,-2.29963617465967,-2.35879701744377,68.9361759012262,-3.03224117517283,0.713990775698644,1.01097090209246,-0.70102488086757,-0.517830618995888,energy,0.513452454302732,4.16666666666667
16.646,500,0.228926605745588,8.74731217568497,0.715899702367636,0.773592577793397,-2.29820224984421,-2.35724983221469,68.9445034199051,-3.0325524366294,0.712903220094475,1.00961914092961,-0.700015120636083,-0.517163364779581,energy,0.513452454302732,4.16666666666667
16.648,500,0.227553046045874,8.7351477517676,0.714840336838168,0.772568865049163,-2.29677045037147,-2.3557046944112,68.9528309453961,-3.03286351578093,0.711819160062729,1.00826651174445,-0.69900838920476,-0.516495567769304,energy,0.513452454302732,4.16666666666667
16.65,500,0.226187727704749,8.72297776641349,0.713784267835649,0.771544446484731,-2.29534076962989,-2.35416160544494,68.961158477683,-3.03317441295427,0.710738585072616,1.00691302949795,-0.698004678843446,-0.515827230795197,energy,0.513452454302732,4.16666666666667
16.652,500,0.224830601274061,8.71080243612207,0.712731485697654,0.770519331499882,-2.29391320102641,-2.35262056670875,68.9694860167496,-3.03348512847593,0.709661484197214,1.00555870956018,-0.697003981409047,-0.51515835703885,energy,0.513452454302732,4.16666666666667
16.654,500,0.223481617602343,8.69862193765264,0.711681978902752,0.769493529867582,-2.29248773798731,-2.35108157957591,68.9778135625798,-3.03379566267207,0.70858784468346,1.00420356655082,-0.69600628691563,-0.51448895116876,energy,0.513452454302732,4.16666666666667
16.656,500,0.22214072783304,8.68643650670099,0.710635737404882,0.768467051579675,-2.2910643739619,-2.34954464539975,68.9861411151575,-3.03410601586853,0.707517655242508,1.00284761696455,-0.69501158682487,-0.513819016410413,energy,0.513452454302732,4.16666666666667
16.658,500,0.220807883402735,8.67424637645947,0.709592750710219,0.767439907044147,-2.28964310241958,-2.34800976551276,68.9944686744667,-3.03441618839075,0.706450904151905,1.00149087763622,-0.694019872148337,-0.513148556470418,energy,0.513452454302732,4.16666666666667
16.66,500,0.219483036039392,8.66205177864072,0.708553007898115,0.766412107059351,-2.28822391685075,-2.34647694122584,69.0027962404913,-3.0347261805638,0.705387579276203,1.00013336574428,-0.693031133468199,-0.512477575482259,energy,0.513452454302732,4.16666666666667
16.662,500,0.218166137760606,8.64985294426852,0.707516497639608,0.765383662792871,-2.28680681076765,-2.34494617382755,69.0111238132153,-3.03503599271234,0.70432766808518,0.998775098812114,-0.692045360955546,-0.511806077963171,energy,0.513452454302732,4.16666666666667
16.664,500,0.216857140871869,8.6376501042826,0.706483208213916,0.764354585764015,-2.28539177770516,-2.34341746458341,69.0194513926228,-3.03534562516062,0.703271157670064,0.99741609470785,-0.691062544386708,-0.511134068779838,energy,0.513452454302732,4.16666666666667
16.666,500,0.215555997964837,8.625443489995,0.70545312752323,0.763324887829137,-2.28397881122162,-2.34189081473524,69.0277789786979,-3.03565507823244,0.702218034758083,0.996056371642688,-0.690082673157906,-0.51046155312107,energy,0.513452454302732,4.16666666666667
16.668,500,0.214262661915617,8.61323329500235,0.704426241597302,0.762294581169162,-2.28256790489956,-2.34036622550049,69.0361065714246,-3.03596435225116,0.701168284236723,0.994695947086472,-0.689105734809605,-0.509788537557615,energy,0.513452454302732,4.16666666666667
16.67,500,0.212977085883062,8.60101976757611,0.703402538038627,0.761263678144353,-2.28115905234944,-2.33884369807188,69.0444341707872,-3.03627344753968,0.700121892553434,0.993334840225057,-0.688131718426317,-0.509115027298153,energy,0.513452454302732,4.16666666666667
16.672,500,0.211699223307069,8.58880315319839,0.702382004036912,0.760232191478277,-2.27975224720655,-2.33732323361671,69.0527617767699,-3.03658236442041,0.699078845756234,0.991973070524297,-0.687160612677297,-0.508441027988396,energy,0.513452454302732,4.16666666666667
16.674,500,0.210429027906895,8.5765836955443,0.701364626391407,0.759200134233194,-2.27834748313175,-2.33580483327612,69.0610893893568,-3.03689110321528,0.698039129515694,0.990610657733405,-0.686192405838627,-0.50776654565915,energy,0.513452454302732,4.16666666666667
