time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,velocity,b
19.37915,500,-115.7,-103.538033644247,-8.66756598028049,-6.03800389622334,-60.960474816402,-60.3403695956834,52.9462975946658,-22.9695378807629,-10.7903068669344,-8.80527769075066,-2.23703962675501,-2.85268116455511,147.916208741977,2.05380981721093,3.1796875
19.38742,500,-115.7,-103.440926895549,-8.44284239131086,-6.04376764887008,-61.0125051349804,-60.4008072708212,52.963415702516,-22.9963336191965,-10.6794267815677,-8.80270304343322,-2.34791971212168,-2.84432198938195,148.163788072302,2.05380981721093,3.1796875
19.39706,500,-115.7,-103.434007814161,-8.45729416187482,-6.04936181308896,-61.0646923089592,-60.4613008876,52.980466050656,-23.0230799214622,-10.6865573794777,-8.8051573864801,-2.34078911421169,-2.84108858608736,148.411648453881,2.05380981721093,3.171875
19.40581,500,-115.7,-102.036749843063,-8.4714859073758,-6.05417757792676,-61.1190177541055,-60.521842662026,52.9974908329864,-23.0498425043568,-10.6935596793247,-8.72925481900457,-2.33378681436473,-2.75966562434446,148.647030774321,2.05380981721093,3.171875
19.4142,500,-115.7,-101.982350791761,-8.52616329573557,-6.05892599401245,-61.1739797297053,-60.5824319206119,53.0144900154489,-23.0766213551946,-10.7205378595716,-8.72856839353047,-2.30680863411781,-2.75422693927208,148.883657557196,2.05380981721093,3.171875
19.4226,500,-115.7,-102.443913425493,-8.53853135548664,-6.06387839872737,-61.2284167008252,-60.6430707032438,53.0314634995916,-23.103416502006,-10.726640340968,-8.75689632481422,-2.30070615272141,-2.77786907158518,149.124754680932,2.05380981721093,3.171875
19.43084,500,-115.7,-102.3828326865,-8.55659772495215,-6.06875884706661,-61.2831275788742,-60.703758290358,53.0484112526242,-23.130227930982,-10.7355544055652,-8.75590115300271,-2.29179208812416,-2.77198680216118,149.365762331089,2.05380981721093,3.171875
19.43958,500,-115.7,-102.3828326865,-8.55659772495215,-6.06875884706661,-61.2831275788742,-60.703758290358,53.0484112526242,-23.130227930982,-10.7355544055652,-8.75590115300271,-2.29179208812416,-2.77198680216118,149.365762331089,2.05380981721093,3.171875
19.44832,500,-115.7,-102.457816380634,-8.38466398933095,-6.0737594602851,-61.3360179295686,-60.7644958836032,53.0653749673367,-23.1571216774246,-10.6507211783526,-8.76253062660663,-2.37662531533675,-2.77380018564333,149.601037999965,2.05380981721093,3.1796875
19.45726,500,-115.7,-102.392082601636,-8.4017303659521,-6.07868538564379,-61.3891866100189,-60.825282736101,53.0823128677476,-23.1840316893949,-10.6591418399544,-8.76129728455448,-2.36820465373496,-2.76763217319815,149.83607083509,2.05380981721093,3.1796875
19.46723,500,-115.3,-102.398826940663,-8.3681188670866,-6.08357526244517,-61.442023161757,-60.8861184873656,53.0992249119821,-23.2109579586199,-10.6200385255692,-8.76410746076001,-2.36226960513428,-2.76558138196555,150.071347707174,2.05380981721093,3.1796875
19.47597,500,-115.3,-100.566766953847,-8.3760823945478,-6.08746431140791,-61.4975654457424,-60.9469931291191,53.1161112881947,-23.2379003325497,-10.6239677819893,-8.66337892951282,-2.35834034871413,-2.66002745646709,150.28986880836,2.05380981721093,3.1796875
19.48394,500,-115.3,-100.562408965828,-8.39921145555436,-6.09131981799543,-61.5533701451823,-61.0079063259375,53.1329719540351,-23.2648588036115,-10.6353798116325,-8.66505246584352,-2.34692831907089,-2.6578632285207,150.508869052469,2.05380981721093,3.1796875
19.49317,500,-115.3,-100.600777992304,-8.46509837244007,-6.09516447641355,-61.6098027385566,-61.0688579693393,53.1498068618585,-23.291833367429,-10.6678888464087,-8.66911489563256,-2.31441928429474,-2.65812099408631,150.730314152113,2.05380981721093,3.1796875
19.50284,500,-115.3,-100.592698946638,-8.33138463413026,-6.09897399626875,-61.6649295691025,-61.1298477079387,53.16661596994,-23.3188240158109,-10.6019136152971,-8.67055704144757,-2.38039451540629,-2.65576918079306,150.946519114801,2.05380981721093,3.1796875
19.51109,500,-115.3,-100.585352029234,-8.34979897877948,-6.10274904420598,-61.7202787700484,-61.1908751970167,53.1833992365167,-23.3458307404842,-10.610999373121,-8.67202306698934,-2.37130875758247,-2.65347592241909,151.162980301107,2.05380981721093,3.1796875
